country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,axhealth,bashs,ophe,social_p,social_r
"Congo, Rep.",5680.229982744329,4447632.0,0.056100000000000004,0.7029092,0.065,0.01852543,0.08381701,0.8426730165420535,0.9359999999999999,0.25065396691589303,0.1719690500661691,0.1521444160488617
Costa Rica,13430.743207071202,4872166.0,0.0421,0.8845699,0.0759999990463257,0.09838871,0.2606393,0.8800645516749306,0.991,0.230870896650139,0.4696688141506717,0.20280860501907427
Cote d'Ivoire,3107.4688875175298,20316086.0,0.0519,0.8217781,0.04,,,0.51784048272429,0.594,0.5583190345514201,,
Croatia,20063.130400211598,4252700.0,0.0801,0.9943954,0.177000007629395,0.09598737,0.1399631,0.9305582675225941,1.0,0.138883464954812,0.4117870853363053,0.19234059685290206
Cuba,18796.192523146103,11265629.0,,0.9647713,0.032000000476837195,,,0.9702565162110617,0.9990000000000001,0.058486967577876706,,
Curacao,,153500.0,,,,,,,,,,
Cyprus,27393.93980965,1141166.0,,0.9526741,0.158000001907349,0.20840209999999998,0.3685452,0.7475757547400955,0.99,0.49484849051980895,,
Czech Republic,27959.149523530297,10521468.0,0.0933,0.9925139000000001,0.06900000095367428,0.2771836,0.4066986,0.9286963517471061,0.9990000000000001,0.14160729650578802,,
Denmark,41990.5157283127,5613706.0,0.0913,0.9888683,0.07,0.4157857,0.668899,0.9890043433867921,1.0,0.12612514335322,,
Djibouti,2902.5462446952697,872932.0,0.0603,0.7586328,,0.018864020000000002,0.043224530000000004,0.7646656987996665,0.929,0.39966860240066704,0.2858701354316727,0.08565180357270068
Dominica,10011.3654275603,72003.0,,0.8780945,,,,0.8812552546298016,1.0,0.23748949074039696,0.5815343307526244,0.08303201217611587
Dominican Republic,11795.4705790204,10403761.0,0.0501,0.7916979999999999,0.148999996185303,0.06296502,0.2242909,0.795433244079035,0.978,0.38713351184193,0.1917471414625228,0.11760695886439583
East Asia & Pacific (all income levels),13360.866849003502,2248641459.0,,0.925960311889648,0.0446477283639759,,,0.8405391476922199,0.923574139397332,0.242495844012892,,
East Asia & Pacific (developing only),10448.1578620799,2005808800.0,,0.9244515991210942,0.04515665772694559,0.16079189179500003,0.37148091896700003,0.7865418344432775,0.9235558525110581,0.350472183624503,,
