country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,share1,shew,social_p,social_r,unemp,v,v_s
Malawi $(pe= 0\%)$,0.03345267959642406,-0.02813029793780064,-0.0008128698048559535,-0.11040746998264295,0.02464454437717256,0.014788421057121415,0.05390150248724135,-0.01189770793941225,0.034446966451329164,-0.2758103733419559,0.044418772108867355,0.05390150248724135,0.06889879399335497,0.0,-0.12425010404204517,0.034446966451329164,3.068096517396146,0.011099126734526177,0.173662411091291,0.04256780536820992,-0.05388073290557571,0.1845341359785757,-0.34804034151791896
Malawi $(protection= 1yr)$,0.029047853916941424,-0.0267329033067365,-0.0007846488112583927,-0.10492293158020916,0.02493544154447136,0.013059714008667456,0.05203032538558805,-0.011717351985573998,0.034114691358666516,-0.25630138481763654,0.04236872625978938,0.05203032538558805,0.06823471040012796,5.551115123125783e-14,-0.12573541033211733,0.034114691358666516,3.219704341510199,0.010586796831246748,0.1764540203179621,0.037665383316565215,-0.05200996046711426,0.1678869122850868,-0.3257268330630336
Malawi $(pv= 0\%)$,0.07708968064096267,-0.033457652818480454,-0.0007546346901254886,-0.13131595964854803,0.01377342130837178,0.023381342293349316,0.050037765073562834,-0.01489100741208782,0.016432633710317113,-0.2415636557248635,0.04792977607775972,0.050037765073562834,0.03286275011715745,5.551115123125783e-14,-0.1814295324368831,0.016432633710317113,2.2341259485312848,0.011977252756312229,0.037012019389048856,0.06643784147530862,-0.05002273661558476,0.35459149663774614,-0.5112432097457154
Malawi $(v=16\%)$,0.058991121519136325,-0.0282396944640273,-0.0004986303158704963,-0.11083590870941684,0.018359615058860523,0.0056338771468600335,0.03306174278605578,-0.0062052126405531816,0.0306167484908082,-0.2667826361877901,0.03266272251684077,0.03306174278605578,0.06123718210299112,0.0,-0.12878889907669278,0.0306167484908082,3.405623070611652,0.008162842829395611,0.1719223522506641,0.020135269588883453,-0.03305392318664335,0.45851173612276863,-0.7185137095637173
Malaysia $(\eta=1)$,0.018409985244272065,-0.03826621102226424,-8.7921949609715e-05,-0.15055418432291523,0.005248733535467842,0.0009501280091583908,0.019707804575386234,-0.0064654204732783604,0.021345281816076422,-0.18442926987860542,0.01315111042704542,0.019707804575386234,0.04269153604741227,5.551115123125783e-14,-0.07310350796152498,0.021345281816076422,1.2175509052320677,0.0026298236709410006,0.11660840038091314,0.00546585270760902,-0.019705734474018133,2.1048062760876673,-2.3245980609116756
Malaysia $(\eta=2)$,0.006075004421707275,-0.01968213399472507,-3.706194295904908e-05,-0.07743427721618179,0.0017320204508397552,0.0003135323466130213,0.006503256433615379,-0.007682803430275609,0.022635914758595277,-0.25991534289165896,0.010638468706775095,0.006503256433615379,0.045273635720599614,0.0,-0.09692858443530183,0.022635914758595277,6.416269544769038,0.0021267983661976686,0.12770350224527993,0.0021677288727373067,-0.006502812434555638,0.9059543590921038,-1.0350103610572703
Mali $(\eta=1)$,0.06777294562640424,-0.0481003989254436,-0.001443034004566801,-0.16421276306990973,0.06421381271248805,0.011891609316500018,0.07580632048168057,-0.0011362724044172712,0.037074835067346656,-0.224450107774693,0.03332038355785549,0.07580632048168057,0.07415868635479717,5.551115123125783e-14,-0.043456498674293575,0.037074835067346656,1.0885494778519744,0.011100519240886397,0.21083309096786573,0.0335198901767475,-0.07575922996480577,0.1466843993482292,-0.5537913995274646
Mali $(\eta=2)$,0.0412960505288551,-0.034292266348462386,-0.0011232376172232161,-0.11707180806916351,0.03912742776257527,0.007246086889456382,0.046190857938915864,-0.001370422465396537,0.03448155131202668,-0.2902045932711428,0.02536410626149954,0.046190857938915864,0.06897531847874228,2.7755575615628914e-14,-0.050935314044542324,0.03448155131202668,2.8535767063522233,0.008450787087277423,0.2061931971034936,0.02083859359519602,-0.04616526318482195,-0.013802705292609296,-0.2729017724821814
Mexico $(\eta=1)$,0.039530525960618235,-0.0527331592610758,-0.0002432641854066553,-0.19215103858116755,0.006062509307236397,0.007211397690110033,0.03741976349863618,-0.017490772753203654,0.013031515831929408,-0.1418551314401051,0.018348915023835843,0.03741976349863618,0.026061568896451615,5.551115123125783e-14,-0.03879479134721864,0.013031515831929408,0.8554600645993005,0.00458593885344083,0.09313813233663426,0.027989596775745973,-0.0374119933287953,0.9445605599777696,-1.0316024121874157
Mexico $(\eta=2)$,0.017511488196980673,-0.031114117289621213,-0.0001376607124126128,-0.11337481003648175,0.002685669518887046,0.003194620437102502,0.016576472305462886,-0.024187577421952433,0.012722841484041902,-0.25585850041914826,0.011923891502424455,0.016576472305462886,0.02544645384544575,-2.7755575615628914e-14,-0.06772587383208073,0.012722841484041902,5.702573820991985,0.0029811801164347784,0.11312925102591187,0.01348730350567151,-0.01657385694672775,0.5711810824114982,-0.625992608132786
