country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,resilience,share1,shew,social_p,social_r,unemp,v,v_s,v_shew
Poland $(\eta=1)$,-1.429750748966252e-06,7.726465654934046e-06,3.4447169780255776e-09,2.769166976779124e-05,-1.77926587905438e-07,-3.036022335498132e-08,-7.546254248311734e-07,0.001636867060544642,-1.859931979257708e-06,8.161399471387845e-06,-0.0001188814168472254,-7.546254248311734e-07,-3.7197931348448656e-06,-4.7304647822303796e-07,3.825052785009489e-06,-1.859931979257708e-06,-0.00012534849917432328,-1.6885096556154143e-06,-2.377656575582878e-05,-2.433486087682538e-05,-3.7430438692379487e-07,7.546254248243971e-07,0.00029123718069724326,0.0005056292293750008,0.00036404647587155313
Poland $(\eta=2)$,-1.7911722631903763e-06,1.0322747819607888e-05,5.5126548806480255e-09,3.699694227971733e-05,-2.2290400573238538e-07,-3.803487426813461e-08,-9.45384453216575e-07,0.0021811589676794317,-4.473761866212868e-06,4.7136397362827136e-05,-0.0001587650013692391,-9.45384453216575e-07,-8.949890927285463e-06,-6.300098729381323e-07,1.367897109148255e-05,-4.473761866212868e-06,-0.00022233422399780091,-0.0008252979158429212,-3.17503217270727e-05,-5.901056665176833e-05,-5.574779294469827e-07,9.45384453216575e-07,0.00043092820851767797,0.0006265710862500708,0.0005386602606470961
Romania $(\eta=1)$,-6.427201913478814e-05,0.00013769847832800775,3.2447823030898326e-07,0.0005334040345888157,-6.251662545498152e-06,-1.1966229367848039e-05,-6.953811627669233e-05,0.03424099373266782,-2.702919552153432e-05,6.909498841459714e-05,-0.0024379390060071636,-6.953811627669233e-05,-5.4053750116103e-05,-5.031788998985896e-05,9.020912031362967e-05,-2.702919552153432e-05,-0.0031061340098289115,-3.703120186947066e-05,-0.0006094987205045033,-0.00022157809065402427,-7.92929028333323e-05,6.953811627669233e-05,0.0022912762610712793,0.003548847187716383,0.0027277098346086418
Romania $(\eta=2)$,-8.162801190558268e-05,0.00016799596942946096,5.264208680511723e-07,0.0006507722654159383,-7.93985923536189e-06,-1.5197585612929457e-05,-8.831616401237287e-05,0.04150741464103102,-5.4442729360100126e-05,0.0008062908121149546,-0.0029760397354506272,-8.831616401237287e-05,-0.00010888236656996647,-6.0799230916768615e-05,0.0003291816977660754,-5.4442729360100126e-05,-0.004534938557513037,-0.013858304671479074,-0.0007440429016984749,-0.0005019657486637387,-0.00011854670542671246,8.831616401237287e-05,0.0028255043895972828,0.004302681281566183,0.0033636957019014973
Rwanda $(\eta=1)$,-0.0025846337663379404,0.0026303611119146697,7.605908730785871e-05,0.008911868703047332,-0.00038119656958421344,-0.00434889175851029,-0.004291954233424933,0.6381483765416519,-0.0011898682443587522,0.0007936951595174241,-0.026397731210952083,-0.004291954233424933,-0.0023796187743792274,-0.011328780786447334,0.0008749156713144801,-0.0011898682443587522,-0.042834300243400084,-0.004371721546944998,-0.006599786243136063,-0.0005025679396634952,-0.006626493099183908,0.0042919542334266675,0.035979951541954824,0.009805218429026485,0.04283327564518394
Rwanda $(\eta=2)$,-0.003373566839246639,0.002663142193342141,0.00012681530817820752,0.009023014716428093,-0.0004975529311473936,-0.005676346573764077,-0.005602029450369611,0.6667393447849848,-0.0016399615359215247,0.014311536932293256,-0.02848761124593993,-0.005602029450369611,-0.0032797606685820713,-0.011831540131583898,0.003043957151876303,-0.0016399615359215247,-0.04672018749933784,-0.057416210033198536,-0.007122453174149279,-0.0009284876417593041,-0.008900476802780471,0.005602029450366142,0.03976978312233807,0.00964398227454484,0.04734497990754491
Senegal $(\eta=1)$,-0.0011795332503800743,0.0007235152520868732,1.743009910015747e-05,0.0029260744681108147,-0.0002582527163248055,-0.0006695076428270968,-0.0010497102562803673,0.5606963890602209,-0.00041822010921413466,0.00023936454515531558,-0.01659070123992759,-0.0010497102562803673,-0.0008363487293498034,-0.003170765405454551,0.0014462924097062568,-0.00041822010921413466,-0.019832463836772726,-0.0029311949927193076,-0.004147901861092235,-0.0006012843381392186,-0.0021237547595479717,0.0010497102562803673,0.016468181383028774,0.011755980561313148,0.019604977836938844
Senegal $(\eta=2)$,-0.0015387848331695209,0.0009297961747079669,2.9046768823537406e-05,0.0037604164571571758,-0.00033690899589079726,-0.0008734202330811652,-0.0013694215242072288,0.7051669012702356,-0.0007203590713031338,0.008263368688534237,-0.021349361546416437,-0.0013694215242072288,-0.0014405375007749133,-0.00398287756930675,0.005318666012155832,-0.0007203590713031338,-0.031292613387858347,-0.12017727290856636,-0.005337827071410714,-0.0015705238383574571,-0.0030515383841051014,0.0013694215242072288,0.022461943220987088,0.013860986465758993,0.026740408596412964
Serbia $(\eta=1)$,-0.0005115935804607397,0.0004656763966199781,4.546536940333579e-06,0.0018982100333068963,-0.0001222930174332032,-0.00011682973451512813,-0.0005520319535335869,0.09659123230472237,-0.00025767185748547944,0.0007735159505495651,-0.004765101705652905,-0.0005520319535335869,-0.0005153102364601966,-0.00051516174383575,0.0008127598829397661,-0.00025767185748547944,-0.01315988296039521,-0.0007307614394809134,-0.002382583509617786,-0.001731916748290603,-0.0005645670189523971,0.0005520319535335869,0.016231194776112137,0.01302645085051856,0.017642603017513112
Serbia $(\eta=2)$,-0.0006702209844298979,0.0006463286918176672,7.608585407548052e-06,0.0026346543359001898,-0.00016021183545447681,-0.00015305457822054752,-0.0007231978927518812,0.13119239435698501,-0.0005765954986724706,0.004852049691511824,-0.006598333271181506,-0.0007231978927518812,-0.0011530997379542718,-0.0006964515214015476,0.0027673145547293596,-0.0005765954986724706,-0.024051762811008716,-0.08100100880672687,-0.0032992467514985843,-0.004336696447988439,-0.0008493063573178014,0.0007231978927527485,0.023759968620308894,0.01666257889039978,0.025826052848161724
Sierra Leone $(\eta=1)$,-0.0037531033336563047,0.004012262742811301,0.00016567663320421477,0.014410993270000394,-0.004311882503896247,-0.00551751124021338,-0.007966791751277263,1.109662404350207,-0.002688697894590031,0.0015314889705748957,-0.06004899043237505,-0.007966791751277263,-0.005377158093868711,-0.03131788320486634,0.01283422687109459,-0.002688697894590031,-0.10325598936755162,-0.025185160248807764,-0.015013007140692036,-0.007616284319455352,-0.008867424746431679,0.007966791751277263,0.08236508616428148,0.022325082320251433,0.09805367400509614
Sierra Leone $(\eta=2)$,-0.004899501187385913,0.006144388079776242,0.0002762821529611603,0.022069221279404083,-0.00562896130736068,-0.007202853337502646,-0.01040027469934035,1.6274294612210194,-0.004250526896558415,0.01927316401741791,-0.08909833308825416,-0.01040027469934035,-0.008500541481985813,-0.045860191130772665,0.03603947059385715,-0.004250526896558415,-0.22141615043177326,-0.5557136333719028,-0.022276380337207802,-0.013779998399625348,-0.012248468686110181,0.01040027469934035,0.12329690447726582,0.03204641898300886,0.14678202913960087
Slovak Republic $(\eta=1)$,-5.933513223289888e-05,0.00015224618955334349,7.426288188994851e-07,0.0005733394949465013,-2.989353730070525e-05,-2.9076053510192212e-05,-0.00013689685848567064,0.016575482339525535,-4.531851510399844e-05,0.00019245733587575434,0.0,-0.00013689685848567064,-9.063337062906358e-05,-2.436550142117383e-05,0.00019937598623323907,-4.531851510399844e-05,-0.0032523388651497275,-0.00011072865995008334,-0.0005027193745344317,-0.00045554833537353456,-0.00011166728187636012,0.0001368968584854538,0.003911002657698169,0.002775659378217608,0.003911002657698165
Slovak Republic $(\eta=2)$,-7.510871012877778e-05,0.00020244349914163608,1.2008271603643206e-06,0.0007623839272522578,-3.784039814759728e-05,-3.6805595480648295e-05,-0.00017328934940556012,0.02158496514163182,-0.0001004484290810341,0.001074160525841748,0.0,-0.00017328934940556012,-0.00020087314163072523,-3.157455412492599e-05,0.0006457889454197004,-0.0001004484290810341,-0.0054615986485886696,-0.01736931375761943,-0.0006675836696379972,-0.001095577221451845,-0.00016727432797453493,0.00017328934940556012,0.005484037223381323,0.0033740842000854875,0.0054840372233813175
Slovenia $(\eta=1)$,-4.7951344367630835e-05,0.0001323282117779781,2.4673853693708836e-07,0.0005385304719432958,-5.82171963132809e-06,-1.2278096086061965e-05,-7.212863365412513e-05,0.026959426930312076,-3.924369249984523e-05,0.00015444939415647577,-0.0037451422445124866,-7.212863365412513e-05,-7.84835597776503e-05,-5.1984236480772175e-05,5.732868907414382e-05,-3.924369249984523e-05,-0.0034320873048579456,-2.382266787981889e-05,-0.0007490556372495571,-0.000530738467396279,-8.84559473721732e-05,7.212863365390829e-05,0.004341172238057304,0.004188429051418113,0.005426465297571663
Slovenia $(\eta=2)$,-6.273179744501617e-05,0.00016546681585864233,4.1233895399679643e-07,0.0006734202237040042,-7.616198075422603e-06,-1.6062678676737052e-05,-9.436145943439445e-05,0.03337864556523119,-8.135900493393654e-05,0.0009830918164437444,-0.004685106807759184,-9.436145943439445e-05,-0.00016269491844044838,-6.410300938566697e-05,0.0003330486490597546,-8.135900493393654e-05,-0.0052188128089356,-0.015154227598694094,-0.0009370835970707887,-0.001164677497291454,-0.00014689266661306773,9.436145943461129e-05,0.005347808397419699,0.00533224566323892,0.006684760496774664
South Africa $(\eta=1)$,1.0247342984061195e-05,2.7311138580982542e-05,7.547423058165866e-07,9.791646340514735e-05,-1.8619169158746356e-05,-3.1125101789089863e-05,-6.902912984187853e-05,0.020975115090993684,-9.639816633193014e-06,8.186091852502905e-06,0.0,-6.902912984187853e-05,-1.927916554715246e-05,-3.6463147462355294e-06,2.747211470111163e-05,-9.639816633193014e-06,-0.0005871607407827095,-0.002431987672799128,-7.741122393857438e-05,-8.096361407729778e-05,-5.48446731229329e-05,6.902912984185143e-05,0.0005269187394808567,0.00016841194519907855,0.0005269187394808562
