country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.0925,0.9609768676757808,0.126999998092651,0.002091735,0.01016893,0.789,0.579689623482569,0.10013164023017088,0.11927926539328736,0.6046551882587154
El Salvador,7515.082656377621,6340454.0,0.057,0.837892837524414,0.06300000190734861,0.04984934,0.18161670000000002,0.995,0.2843736458961,0.18429042105884486,0.1773739959750223,0.85531317705195
Equatorial Guinea,32685.0623108539,757014.0,,0.7206935882568359,0.08,,,0.6829999999999999,0.19213476316236,,,0.74543261841882
Eritrea,1157.3215429849001,6333135.0,,0.690192184448242,0.0719999980926514,,,0.341,0.545976813370913,,,0.39751159331454355
Estonia,25253.7672011471,1317997.0,0.0717,0.969785385131836,0.0880000019073486,0.1892857,0.3582999,0.998,0.188871429883955,,,0.9045642850580224
Ethiopia,1335.73227522925,94100756.0,0.0796,0.366042785644531,0.0569999980926514,,,0.231,0.353824812823999,,,0.4385875935880005
Euro area,36770.1038826781,337301537.0,,0.9590928649902339,0.120737127286527,0.40125609999999995,0.41564370000000006,,0.13795663178911702,,,
Europe & Central Asia (all income levels),27339.6260580812,899372723.0,,0.950469512939453,0.0959883483317746,,,,0.17036491797765302,,,
Europe & Central Asia (developing only),13645.9213896471,272357073.0,,0.9480947113037109,0.09724344667449651,0.02438396,0.06565853999999999,0.9687776886873621,0.29499037901421105,,,0.8368936548365755
European Union,34295.059805254,507048450.0,,0.9514370727539059,0.10919430159230599,,,,0.136280027625165,,,
Faeroe Islands,,49469.0,,,,,,,,,,
Fiji,7501.810430476,881065.0,0.062,0.965088272094727,0.0810000038146973,,,0.996,0.20889977092240103,0.193288704870383,0.12634736653352485,0.8935501145387995
Finland,38820.821824728104,5438972.0,0.09179999999999999,0.9955172729492192,0.08199999809265139,0.4118611,0.6638473,0.9990000000000001,0.18540314596854,,,0.9067984270157301
Fragile and conflict affected situations,3380.73108850607,446374282.0,,0.6464202880859379,0.0811781688369576,,,0.598068792472636,0.480591087020945,,,0.5587388527258454
France,37216.8018998205,65939866.0,0.0781,0.998382568359375,0.103999996185303,0.4022605,0.5575401999999999,1.0,0.0739863036312876,,,0.9630068481843562
French Polynesia,,276831.0,,,,,,0.99,,,,
Gabon,18646.3698144321,1671711.0,0.058600000000000006,0.598094902038574,0.196000003814697,0.01964613,0.1312962,0.893,0.389006879405873,0.22083996445867293,0.12165273695354185,0.7519965602970635
"Gambia, The",1608.12799895875,1849285.0,0.0479,0.7296015167236329,0.07,,,0.5660000000000001,0.210469253137611,,,0.6777653734311946
Georgia,6930.291380152889,4487200.0,0.0528,0.9982044982910161,0.14300000190734902,0.001567924,0.01637902,0.998,0.6190708447252,0.9832011784414143,0.5428108927360503,0.6894645776374
Germany,42883.6868079517,80651873.0,0.08289999999999999,0.962423629760742,0.053000001907348604,0.5698233,0.5140285,1.0,0.128850979073437,,,0.9355745104632816
Ghana,3864.0307887795,25904598.0,0.0524,0.837136611938477,0.0459999990463257,0.04551203,0.24017770000000002,0.684,0.361868838884229,,,0.6610655805578856
Greece,24305.0596068933,11027549.0,0.0645,0.9441726684570309,0.272999992370605,0.1293717,0.2479624,1.0,0.263867458319883,,,0.8680662708400585
Greenland,,56483.0,,,,,,,,,,
Grenada,11271.7784894489,105897.0,,,,,,0.99,0.504833692941407,,,0.7425831535292965
Guam,,165124.0,,,,,,0.9940000000000001,,,,
Guatemala,7062.530674821691,15468203.0,0.0387,0.667277297973633,0.027999999523162802,0.053363350000000004,0.1347752,0.523,0.5082508508966079,0.21925287935117188,0.10471864953838116,0.507374574551696
Guinea,1212.8881328330199,11745189.0,0.0755,0.585807113647461,0.0179999995231628,0.01277901,0.02541692,0.45299999999999996,0.564413048313437,,,0.4442934758432815
Guinea-Bissau,1361.89181999599,1704255.0,0.0728,,0.07099999904632572,,,0.43,0.43332407385886895,,,0.49833796307056555
Guyana,6335.95019984798,799613.0,,0.921871871948242,0.111000003814697,,,0.919,0.313208461091081,,,0.8028957694544595
Haiti,1648.3991533882001,10317461.0,0.023799999999999998,,0.07,0.09045759,0.2400352,0.373,0.297119104279104,0.01029806614756764,0.015753787709690964,0.537940447860448
Heavily indebted poor countries (HIPC),1933.0463959370397,673564609.0,,0.547599182128906,0.0616879492228603,,,0.523784855061193,0.433798275707215,,,0.544993289676989
High income,39386.7190390732,1306396050.0,,0.9430687713623052,0.0772488205788821,0.3416771,0.4637011,,0.14502986715762803,,,
High income: OECD,40651.0411673828,1054701323.0,,0.9418286895751948,0.0815184286936759,0.3776466,0.5158542,,0.13535452569092699,,,
High income: nonOECD,34662.4502279002,251694727.0,,0.9483116912841801,0.05804916185246411,0.131747,0.2143467,0.9884729868819642,0.39634218410155797,,,0.7960654013902031
Honduras,4445.2710541232,8097688.0,0.026099999999999998,0.696548690795898,0.041999998092651404,0.0431121,0.118058,0.8290000000000001,0.45857799651257297,0.2579741926798659,0.13477151366151952,0.6852110017437136
"Hong Kong SAR, China",51508.863393328895,7187500.0,,0.9899713897705079,0.0329999995231628,0.2219831,0.5649668000000001,1.0,,,,
Hungary,22706.6118964343,9893899.0,0.0825,0.980723037719727,0.10199999809265099,0.0918939,0.22392620000000002,0.991,0.27493289491964995,0.7957704395524086,0.3988530630522048,0.858033552540175
Iceland,40789.4181051148,323764.0,0.0956,0.979173736572266,0.05599999904632571,,,,0.18095332150331303,,,
India,5243.95705971261,1252139596.0,0.08539999999999999,0.6137311172485349,0.0359999990463257,0.10608599999999999,0.1227241,0.523,0.582127675457295,,,0.4704361622713525
Indonesia,9254.42217970391,249865631.0,0.07629999999999999,0.8897506713867191,0.06300000190734861,0.07181267,0.20722079999999998,0.831,0.45812714364556,,,0.68643642817722
"Iran, Islamic Rep.",15090.047220074799,77447168.0,0.0643,0.9617577362060551,0.131999998092651,0.1211886,0.24928379999999997,0.9640000000000001,0.521103369137571,,,0.7214483154312146
Iraq,14471.473317625,33417476.0,0.08800000000000001,,0.16,0.0292944,0.07414198,0.909,0.36530727909022803,0.13105041321080904,0.08987146573864697,0.771846360454886
Ireland,44647.2359111421,4597558.0,0.0762,0.998382568359375,0.131000003814697,0.4951397,0.5241702,1.0,0.16838536504729798,,,0.915807317476351
Isle of Man,,85888.0,,,,,,,,,,
Israel,30926.8490945208,8059500.0,0.0461,0.989402618408203,0.06300000190734861,0.18581630000000002,0.290902,,0.263461124638444,,,
Italy,33923.5598171182,60233948.0,0.060700000000000004,0.993345489501953,0.121999998092651,0.11888060000000002,0.17877559999999998,0.99,0.180080383584826,,,0.9049598082075869
Jamaica,8607.498562766179,2714734.0,0.0535,0.860790634155273,0.15,0.2945098,0.31051059999999997,0.991,0.253651313039636,0.266518589381954,0.1474314747293658,0.868674343480182
Japan,35614.3100226829,127338621.0,0.0737,0.998382568359375,0.04,0.4561238,0.5513969,0.998,0.14378354821940598,,,0.927108225890297
Jordan,11404.7388595369,6460000.0,0.0823,0.978990631103516,0.126000003814697,0.01290732,0.1260008,0.996,0.23512147294390304,0.24754125076743594,0.20254922683467025,0.8804392635280485
